route_name_list,lon,lat,datetime,type_list,status_list
5_70_rider_0_meeting_point,-73.9613628,40.780232,2016/3/5 17:15:00,point,display
5_70_rider_0_meeting_point,-73.9613628,40.780232,2016/3/5 17:15:05,point,display
5_70_rider_0_meeting_point,-73.9613628,40.780232,2016/3/5 17:15:10,point,display
5_70_rider_0_meeting_point,-73.9613628,40.780232,2016/3/5 17:15:15,point,display
5_70_rider_0_meeting_point,-73.9613628,40.780232,2016/3/5 17:15:20,point,display
5_70_rider_0_meeting_point,-73.9613628,40.780232,2016/3/5 17:15:25,point,display
5_70_rider_0_meeting_point,-73.9613628,40.780232,2016/3/5 17:15:30,point,display
5_70_rider_0_meeting_point,-73.9613628,40.780232,2016/3/5 17:15:35,point,display
5_70_rider_0_meeting_point,-73.9613628,40.780232,2016/3/5 17:15:40,point,display
5_70_rider_0_meeting_point,-73.9613628,40.780232,2016/3/5 17:15:45,point,display
5_70_rider_0_meeting_point,-73.9613628,40.780232,2016/3/5 17:15:50,point,display
5_70_rider_0_meeting_point,-73.9613628,40.780232,2016/3/5 17:15:55,point,display
5_70_rider_0_meeting_point,-73.9613628,40.780232,2016/3/5 17:16:00,point,display
5_70_rider_0_meeting_point,-73.9613628,40.780232,2016/3/5 17:16:05,point,display
5_70_rider_0_meeting_point,-73.9613628,40.780232,2016/3/5 17:16:10,point,display
5_70_rider_0_meeting_point,-73.9613628,40.780232,2016/3/5 17:16:15,point,display
5_70_rider_0_meeting_point,-73.9613628,40.780232,2016/3/5 17:16:20,point,display
5_70_rider_0_meeting_point,-73.9613628,40.780232,2016/3/5 17:16:25,point,display
5_70_rider_0_meeting_point,-73.9613628,40.780232,2016/3/5 17:16:30,point,display
5_70_rider_0_meeting_point,-73.9613628,40.780232,2016/3/5 17:16:35,point,display
5_70_rider_0_meeting_point,-73.9613628,40.780232,2016/3/5 17:16:40,point,display
5_70_rider_0_meeting_point,-73.9613628,40.780232,2016/3/5 17:16:45,point,display
5_70_rider_0_meeting_point,-73.9613628,40.780232,2016/3/5 17:16:50,point,display
5_70_rider_0_meeting_point,-73.9613628,40.780232,2016/3/5 17:16:55,point,display
5_70_rider_0_meeting_point,-73.9613628,40.780232,2016/3/5 17:17:00,point,display
5_70_rider_0_meeting_point,-73.9613628,40.780232,2016/3/5 17:17:05,point,display
5_70_rider_0_meeting_point,-73.9613628,40.780232,2016/3/5 17:17:10,point,display
5_70_rider_0_meeting_point,-73.9613628,40.780232,2016/3/5 17:17:15,point,display
5_70_rider_0_meeting_point,-73.9613628,40.780232,2016/3/5 17:17:20,point,display
5_70_rider_0_meeting_point,-73.9613628,40.780232,2016/3/5 17:17:25,point,display
5_70_rider_0_meeting_point,-73.9613628,40.780232,2016/3/5 17:17:30,point,display
5_70_rider_0_meeting_point,-73.9613628,40.780232,2016/3/5 17:17:35,point,display
5_70_rider_0_meeting_point,-73.9613628,40.780232,2016/3/5 17:17:40,point,display
5_70_rider_0_meeting_point,-73.9613628,40.780232,2016/3/5 17:17:45,point,display
5_70_rider_0,-73.9613628,40.780232,2016/3/5 17:15:00,rider,wait
5_70_rider_0,-73.9613628,40.780232,2016/3/5 17:15:05,rider,wait
5_70_rider_0,-73.9613628,40.780232,2016/3/5 17:15:10,rider,wait
5_70_rider_0,-73.9613628,40.780232,2016/3/5 17:15:15,rider,wait
5_70_rider_0,-73.9613628,40.780232,2016/3/5 17:15:20,rider,wait
5_70_rider_0,-73.9613628,40.780232,2016/3/5 17:15:25,rider,wait
5_70_rider_0,-73.9613628,40.780232,2016/3/5 17:15:30,rider,wait
5_70_rider_0,-73.9613628,40.780232,2016/3/5 17:15:35,rider,wait
5_70_rider_0,-73.9613628,40.780232,2016/3/5 17:15:40,rider,wait
5_70_rider_0,-73.9613628,40.780232,2016/3/5 17:15:45,rider,wait
5_70_rider_0,-73.9613628,40.780232,2016/3/5 17:15:50,rider,wait
5_70_rider_0,-73.9613628,40.780232,2016/3/5 17:15:55,rider,wait
5_70_rider_0,-73.9613628,40.780232,2016/3/5 17:16:00,rider,wait
5_70_rider_0,-73.9613628,40.780232,2016/3/5 17:16:05,rider,wait
5_70_rider_0,-73.9613628,40.780232,2016/3/5 17:16:10,rider,wait
5_70_rider_0,-73.9613628,40.780232,2016/3/5 17:16:15,rider,wait
5_70_rider_0,-73.9613628,40.780232,2016/3/5 17:16:20,rider,wait
5_70_rider_0,-73.9613628,40.780232,2016/3/5 17:16:25,rider,wait
5_70_rider_0,-73.9613628,40.780232,2016/3/5 17:16:30,rider,wait
5_70_rider_0,-73.9613628,40.780232,2016/3/5 17:16:35,rider,wait
5_70_rider_0,-73.9613628,40.780232,2016/3/5 17:16:40,rider,wait
5_70_rider_0,-73.9613628,40.780232,2016/3/5 17:16:45,rider,wait
5_70_rider_0,-73.9613628,40.780232,2016/3/5 17:16:50,rider,wait
5_70_rider_0,-73.9613628,40.780232,2016/3/5 17:16:55,rider,wait
5_70_rider_0,-73.9613628,40.780232,2016/3/5 17:17:00,rider,wait
5_70_rider_0,-73.9613628,40.780232,2016/3/5 17:17:05,rider,wait
5_70_rider_0,-73.9613628,40.780232,2016/3/5 17:17:10,rider,wait
5_70_rider_0,-73.9613628,40.780232,2016/3/5 17:17:15,rider,wait
5_70_rider_0,-73.9613628,40.780232,2016/3/5 17:17:20,rider,wait
5_70_rider_0,-73.9613628,40.780232,2016/3/5 17:17:25,rider,wait
5_70_rider_0,-73.9613628,40.780232,2016/3/5 17:17:30,rider,wait
5_70_rider_0,-73.9613628,40.780232,2016/3/5 17:17:35,rider,wait
5_70_rider_0,-73.9613628,40.780232,2016/3/5 17:17:40,rider,wait
5_70_rider_0,-73.9613628,40.780232,2016/3/5 17:17:45,rider,wait
