route_name_list,lon,lat,datetime,type_list,status_list,matched_entity_id_list,direction_angle_list
1_32_192_rider_3_meeting_point,113.8923083,22.5996272,2016-11-01 08:01:20,point,display,driver_33,0.0
1_32_192_rider_3_meeting_point,113.8923083,22.5996272,2016-11-01 08:01:25,point,display,driver_33,0.0
1_32_192_rider_3_meeting_point,113.8923083,22.5996272,2016-11-01 08:01:30,point,display,driver_33,0.0
1_32_192_rider_3_meeting_point,113.8923083,22.5996272,2016-11-01 08:01:35,point,display,driver_33,0.0
1_32_192_rider_3_meeting_point,113.8923083,22.5996272,2016-11-01 08:01:40,point,display,driver_33,0.0
1_32_192_rider_3_meeting_point,113.8923083,22.5996272,2016-11-01 08:01:45,point,display,driver_33,0.0
1_32_192_rider_3_meeting_point,113.8923083,22.5996272,2016-11-01 08:01:50,point,display,driver_33,0.0
1_32_192_rider_3_meeting_point,113.8923083,22.5996272,2016-11-01 08:01:55,point,display,driver_33,0.0
1_32_192_rider_3_meeting_point,113.8923083,22.5996272,2016-11-01 08:02:00,point,display,driver_33,0.0
1_32_192_rider_3_meeting_point,113.8923083,22.5996272,2016-11-01 08:02:05,point,display,driver_33,0.0
1_32_192_rider_3_meeting_point,113.8923083,22.5996272,2016-11-01 08:02:10,point,display,driver_33,0.0
1_32_192_rider_3_meeting_point,113.8923083,22.5996272,2016-11-01 08:02:15,point,display,driver_33,0.0
1_32_192_rider_3_meeting_point,113.8923083,22.5996272,2016-11-01 08:02:20,point,display,driver_33,0.0
1_32_192_rider_3_meeting_point,113.8923083,22.5996272,2016-11-01 08:02:25,point,display,driver_33,0.0
1_32_192_rider_4,114.130966,22.5448359,2016-11-1 08:00:00,rider,onboard,driver_41,50.0
1_32_192_rider_4,114.13171295000001,22.54541265,2016-11-1 08:00:05,rider,onboard,driver_41,50.0
1_32_192_rider_4,114.1324599,22.5459894,2016-11-1 08:00:10,rider,onboard,driver_41,50.0
1_32_192_rider_4,114.13320685,22.54656615,2016-11-1 08:00:15,rider,onboard,driver_41,50.0
1_32_192_rider_4,114.1339538,22.5471429,2016-11-1 08:00:20,rider,onboard,driver_41,50.0
1_32_192_rider_4,114.13470075000001,22.54771965,2016-11-1 08:00:25,rider,onboard,driver_41,50.0
1_32_192_rider_4,114.1354477,22.5482964,2016-11-1 08:00:30,rider,onboard,driver_41,50.0
1_32_192_rider_4,114.13548813333333,22.54831491666667,2016-11-1 08:00:35,rider,onboard,driver_41,64.0
1_32_192_rider_4,114.13552856666666,22.548333433333333,2016-11-1 08:00:40,rider,onboard,driver_41,64.0
1_32_192_rider_4,114.135569,22.54835195,2016-11-1 08:00:45,rider,onboard,driver_41,64.0
1_32_192_rider_4,114.13560943333333,22.548370466666668,2016-11-1 08:00:50,rider,onboard,driver_41,64.0
1_32_192_rider_4,114.13564986666665,22.548388983333332,2016-11-1 08:00:55,rider,onboard,driver_41,64.0
1_32_192_rider_4,114.1356903,22.5484075,2016-11-1 08:01:00,rider,onboard,driver_41,64.0
1_32_192_rider_4,114.13610721666666,22.548617116666666,2016-11-1 08:01:05,rider,onboard,driver_41,61.0
1_32_192_rider_4,114.13652413333332,22.548826733333332,2016-11-1 08:01:10,rider,onboard,driver_41,61.0
1_32_192_rider_4,114.13694104999999,22.54903635,2016-11-1 08:01:15,rider,onboard,driver_41,61.0
1_32_192_rider_4,114.13735796666667,22.549245966666668,2016-11-1 08:01:20,rider,onboard,driver_41,61.0
1_32_192_rider_4,114.13777488333334,22.549455583333334,2016-11-1 08:01:25,rider,onboard,driver_41,61.0
1_32_192_rider_4,114.1381918,22.5496652,2016-11-1 08:01:30,rider,onboard,driver_41,61.0
1_32_192_rider_4,114.13833815,22.54968003333333,2016-11-1 08:01:35,rider,onboard,driver_41,84.0
1_32_192_rider_4,114.1384845,22.549694866666666,2016-11-1 08:01:40,rider,onboard,driver_41,84.0
1_32_192_rider_4,114.13863085,22.5497097,2016-11-1 08:01:45,rider,onboard,driver_41,84.0
1_32_192_rider_4,114.13877719999999,22.549724533333332,2016-11-1 08:01:50,rider,onboard,driver_41,84.0
