routeID,lon,lat,datetime,type
0,-73.9557216,40.78240962,2023/10/1 0:09,rider
0,-73.9558135,40.78228476,2023/10/1 0:09,rider
0,-73.9559054,40.7821599,2023/10/1 0:09,rider
0,-73.9559054,40.7821599,2023/10/1 0:09,rider
0,-73.95598123,40.78205528,2023/10/1 0:09,rider
0,-73.95605707,40.78195067,2023/10/1 0:09,rider
0,-73.9561329,40.78184605,2023/10/1 0:09,rider
0,-73.95620873,40.78174143,2023/10/1 0:09,rider
0,-73.95628457,40.78163682,2023/10/1 0:09,rider
0,-73.9563604,40.7815322,2023/10/1 0:09,rider
0,-73.9563604,40.7815322,2023/10/1 0:10,rider
0,-73.9565896,40.7812176,2023/10/1 0:10,rider
0,-73.9568188,40.780903,2023/10/1 0:10,rider
0,-73.9568188,40.780903,2023/10/1 0:10,rider
0,-73.95706455,40.7805667,2023/10/1 0:10,rider
0,-73.9573103,40.7802304,2023/10/1 0:10,rider
0,-73.9573103,40.7802304,2023/10/1 0:10,rider
0,-73.95736109,40.78016145,2023/10/1 0:10,rider
0,-73.95741188,40.7800925,2023/10/1 0:10,rider
0,-73.95746267,40.78002355,2023/10/1 0:10,rider
0,-73.95751346,40.7799546,2023/10/1 0:10,rider
0,-73.95756425,40.77988565,2023/10/1 0:10,rider
0,-73.95761504,40.7798167,2023/10/1 0:11,rider
0,-73.95766583,40.77974775,2023/10/1 0:11,rider
0,-73.95771662,40.7796788,2023/10/1 0:11,rider
0,-73.95776741,40.77960985,2023/10/1 0:11,rider
0,-73.9578182,40.7795409,2023/10/1 0:11,rider
0,-73.9578182,40.7795409,2023/10/1 0:11,rider
0,-73.95804775,40.77922605,2023/10/1 0:11,rider
0,-73.9582773,40.7789112,2023/10/1 0:11,rider
0,-73.9582773,40.7789112,2023/10/1 0:11,rider
0,-73.95843067,40.77869927,2023/10/1 0:11,rider
0,-73.95858403,40.77848733,2023/10/1 0:11,rider
0,-73.9587374,40.7782754,2023/10/1 0:11,rider
0,-73.9587374,40.7782754,2023/10/1 0:12,rider
0,-73.9589709,40.77795845,2023/10/1 0:12,rider
0,-73.9592044,40.7776415,2023/10/1 0:12,rider
