route_name_list,lon,lat,datetime,type_list,status_list,matched_entity_id_list,current_edge_list,direction_angle_list,matched_rider_cnt,OrgPickup_cnt,reposition_recommend_cnt,reposition_recommend_and_accept_cnt,reposition_recommend_but_reject_cnt,matching_rate,unmatched_rider_cnt,total_revenue,total_revenue_added_by_reposition
7_63_1890_rider_2_meeting_point,-74.0100069,40.7207656,2016-03-07 15:48:05,point,display,driver_12,"[42434871, 42434871]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_2_meeting_point,-74.0100069,40.7207656,2016-03-07 15:48:10,point,display,driver_12,"[42434871, 42434871]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_2_meeting_point,-74.0100069,40.7207656,2016-03-07 15:48:15,point,display,driver_12,"[42434871, 42434871]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_2_meeting_point,-74.0100069,40.7207656,2016-03-07 15:48:20,point,display,driver_12,"[42434871, 42434871]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_2_meeting_point,-74.0100069,40.7207656,2016-03-07 15:48:25,point,display,driver_12,"[42434871, 42434871]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_3,-73.9845319,40.7484394,2016-03-7 15:48:00,rider,onboard,driver_19,"[42430304, 42437644]",119.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_3,-73.98426979999999,40.748326633333335,2016-03-7 15:48:05,rider,onboard,driver_19,"[42437644, 42445365]",120.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_3,-73.98400769999999,40.74821386666667,2016-03-7 15:48:10,rider,onboard,driver_19,"[42437644, 42445365]",120.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_3,-73.98374559999999,40.7481011,2016-03-7 15:48:15,rider,onboard,driver_19,"[42437644, 42445365]",120.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_3,-73.9834835,40.74798833333333,2016-03-7 15:48:20,rider,onboard,driver_19,"[42437644, 42445365]",120.0,1,1,1,1,1,1,1,1,1
