routeID,lon,lat,datetime
2,-73.977603,40.738172,2023-03-01 06:13:58
2,-73.977148,40.738796,2023-03-01 06:14:58
2,-73.9762474,40.7400362,2023-03-01 06:15:58
2,-73.9761435,40.7401752,2023-03-01 06:16:58
2,-73.9757944,40.7406465,2023-03-01 06:17:58
2,-73.9753399,40.7412723,2023-03-01 06:18:58
2,-73.9740144,40.7430901,2023-03-01 06:19:58
2,-73.9735204,40.7437681,2023-03-01 06:20:58
2,-73.9730267,40.7444484,2023-03-01 06:21:58
2,-73.9725748,40.7450699,2023-03-01 06:22:58
2,-73.9721346,40.7456709,2023-03-01 06:23:58
2,-73.9716752,40.7462999,2023-03-01 06:24:58
2,-73.9712204,40.7469254,2023-03-01 06:25:58
2,-73.9707815,40.7475482,2023-03-01 06:26:58
2,-73.9706144,40.7477805,2023-03-01 06:27:58
2,-73.9703956,40.747991,2023-03-01 06:28:58
2,-73.9702097,40.7481115,2023-03-01 06:29:58
2,-73.9697356,40.7487771,2023-03-01 06:30:58
2,-73.9693839,40.7494069,2023-03-01 06:31:58
2,-73.9688692,40.7501172,2023-03-01 06:32:58
2,-73.9684124,40.7507446,2023-03-01 06:33:58
2,-73.9679588,40.7513685,2023-03-01 06:34:58
2,-73.9678945,40.7515118,2023-03-01 06:35:58
2,-73.9677148,40.7520656,2023-03-01 06:36:58
2,-73.9699017,40.7529834,2023-03-01 06:37:58
2,-73.9721346,40.7539308,2023-03-01 06:38:58
2,-73.9716693,40.7545696,2023-03-01 06:39:58
2,-73.971214,40.7551946,2023-03-01 06:40:58
2,-73.9707545,40.7558255,2023-03-01 06:41:58
2,-73.9703016,40.7564471,2023-03-01 06:42:58
2,-73.9698433,40.7570938,2023-03-01 06:43:58
2,-73.9693886,40.7577006,2023-03-01 06:44:58
2,-73.9689612,40.7583428,2023-03-01 06:45:58
2,-73.9684947,40.7589726,2023-03-01 06:46:58
2,-73.9680579,40.7595928,2023-03-01 06:47:58
2,-73.9675664,40.760267,2023-03-01 06:48:58
2,-73.9691318,40.7609292,2023-03-01 06:49:58
2,-73.9706553,40.7615712,2023-03-01 06:50:58
2,-73.9701425,40.7622514,2023-03-01 06:51:58
2,-73.9696819,40.7628745,2023-03-01 06:52:58
3,-73.919497,40.8681842,2023-03-01 06:11:58
3,-73.9197555,40.8681187,2023-03-01 06:12:58
3,-73.919215,40.867275,2023-03-01 06:13:58
3,-73.918596,40.866315,2023-03-01 06:14:58
3,-73.9181211,40.8655852,2023-03-01 06:15:58
3,-73.9185087,40.8650616,2023-03-01 06:16:58
3,-73.9189398,40.8644793,2023-03-01 06:17:58
3,-73.9194167,40.8638064,2023-03-01 06:18:58
3,-73.9195831,40.8635998,2023-03-01 06:19:58
3,-73.9197437,40.8634843,2023-03-01 06:20:58
3,-73.9206112,40.863121,2023-03-01 06:21:58
3,-73.9202964,40.8626109,2023-03-01 06:22:58
3,-73.920774,40.861936,2023-03-01 06:23:58
3,-73.921232,40.861311,2023-03-01 06:24:58
3,-73.9216811,40.8606861,2023-03-01 06:25:58
3,-73.9229261,40.8589802,2023-03-01 06:26:58
3,-73.9334097,40.8387726,2023-03-01 06:27:58
3,-73.9336778,40.8382889,2023-03-01 06:28:58
3,-73.9348645,40.8282864,2023-03-01 06:29:58
3,-73.9343644,40.8188825,2023-03-01 06:30:58
3,-73.9343888,40.814759,2023-03-01 06:31:58
3,-73.9345073,40.8135861,2023-03-01 06:32:58
3,-73.9354432,40.8102102,2023-03-01 06:33:58
3,-73.9359356,40.809543,2023-03-01 06:34:58
3,-73.9363976,40.8089036,2023-03-01 06:35:58
3,-73.9368508,40.8082804,2023-03-01 06:36:58
3,-73.9373154,40.8076564,2023-03-01 06:37:58
3,-73.9377715,40.8070213,2023-03-01 06:38:58
3,-73.9382179,40.8064089,2023-03-01 06:39:58
3,-73.9386884,40.8057906,2023-03-01 06:40:58
3,-73.9391836,40.8051222,2023-03-01 06:41:58
3,-73.9396716,40.8044438,2023-03-01 06:42:58
3,-73.9401148,40.803808,2023-03-01 06:43:58
3,-73.9405724,40.8031784,2023-03-01 06:44:58
3,-73.9410458,40.8025533,2023-03-01 06:45:58
3,-73.9415029,40.8019158,2023-03-01 06:46:58
3,-73.9419501,40.8013001,2023-03-01 06:47:58
3,-73.9424116,40.8006686,2023-03-01 06:48:58
3,-73.9428721,40.8000383,2023-03-01 06:49:58
3,-73.9433693,40.7993612,2023-03-01 06:50:58
3,-73.9438785,40.7986715,2023-03-01 06:51:58
3,-73.9452335,40.7968119,2023-03-01 06:52:58
3,-73.9456927,40.7961828,2023-03-01 06:53:58
3,-73.9461661,40.7955346,2023-03-01 06:54:58
3,-73.9466169,40.7949177,2023-03-01 06:55:58
3,-73.947075,40.7942889,2023-03-01 06:56:58
3,-73.9475371,40.7936506,2023-03-01 06:57:58
3,-73.948012,40.7930118,2023-03-01 06:58:58
3,-73.9480532,40.792956,2023-03-01 06:59:58
3,-73.9485228,40.7923046,2023-03-01 07:00:58
3,-73.9489842,40.7916755,2023-03-01 07:01:58
3,-73.9494429,40.7910474,2023-03-01 07:02:58
3,-73.9499026,40.7904213,2023-03-01 07:03:58
3,-73.9512551,40.7885529,2023-03-01 07:04:58
3,-73.9517278,40.7879084,2023-03-01 07:05:58
3,-73.9521844,40.7872803,2023-03-01 07:06:58
3,-73.9526675,40.7866018,2023-03-01 07:07:58
3,-73.9531431,40.7859164,2023-03-01 07:08:58
3,-73.9536184,40.7852953,2023-03-01 07:09:58
3,-73.9540727,40.784671,2023-03-01 07:10:58
3,-73.9545308,40.7840424,2023-03-01 07:11:58
3,-73.9549902,40.7834104,2023-03-01 07:12:58
3,-73.9554459,40.7827842,2023-03-01 07:13:58
3,-73.9559054,40.7821599,2023-03-01 07:14:58
3,-73.9563604,40.7815322,2023-03-01 07:15:58
3,-73.9568188,40.780903,2023-03-01 07:16:58
3,-73.9573103,40.7802304,2023-03-01 07:17:58
3,-73.9578182,40.7795409,2023-03-01 07:18:58
3,-73.9582773,40.7789112,2023-03-01 07:19:58
3,-73.9587374,40.7782754,2023-03-01 07:20:58
3,-73.9592044,40.7776415,2023-03-01 07:21:58
3,-73.9596567,40.7770113,2023-03-01 07:22:58
3,-73.9601235,40.7763739,2023-03-01 07:23:58
3,-73.9606194,40.7756977,2023-03-01 07:24:58
3,-73.9611212,40.7750107,2023-03-01 07:25:58
3,-73.9615886,40.7743725,2023-03-01 07:26:58
3,-73.9620433,40.7737374,2023-03-01 07:27:58
3,-73.9625131,40.7731052,2023-03-01 07:28:58
3,-73.962975,40.7724713,2023-03-01 07:29:58
3,-73.9634353,40.7718364,2023-03-01 07:30:58
3,-73.9639346,40.7711546,2023-03-01 07:31:58
3,-73.9644367,40.7704703,2023-03-01 07:32:58
3,-73.9648861,40.7698503,2023-03-01 07:33:58
3,-73.9653439,40.7692216,2023-03-01 07:34:58
3,-73.9658008,40.7685941,2023-03-01 07:35:58
3,-73.9662534,40.7679732,2023-03-01 07:36:58
3,-73.9667158,40.7673389,2023-03-01 07:37:58
3,-73.9671748,40.7667142,2023-03-01 07:38:58
3,-73.9676296,40.7660933,2023-03-01 07:39:58
3,-73.9680854,40.7654644,2023-03-01 07:40:58
3,-73.9685426,40.7648371,2023-03-01 07:41:58
3,-73.9689907,40.7642073,2023-03-01 07:42:58
3,-73.9694372,40.7635803,2023-03-01 07:43:58
3,-73.9699036,40.762968,2023-03-01 07:44:58
3,-73.9696819,40.7628745,2023-03-01 07:45:58
4,-74.0011226,40.7416736,2023-03-01 06:11:58
4,-74.0006951,40.7422581,2023-03-01 06:12:58
4,-74.0004774,40.742562,2023-03-01 06:13:58
4,-74.0002679,40.7428467,2023-03-01 06:14:58
4,-73.9998517,40.7434266,2023-03-01 06:15:58
4,-73.9994252,40.74401,2023-03-01 06:16:58
4,-73.9989693,40.74463,2023-03-01 06:17:58
4,-73.9987549,40.7449235,2023-03-01 06:18:58
4,-73.9984812,40.7452932,2023-03-01 06:19:58
4,-73.998,40.7459612,2023-03-01 06:20:58
4,-73.9975495,40.74658,2023-03-01 06:21:58
4,-73.9970994,40.7471981,2023-03-01 06:22:58
4,-73.9966452,40.7478218,2023-03-01 06:23:58
4,-73.996192,40.748435,2023-03-01 06:24:58
4,-73.9957293,40.7490535,2023-03-01 06:25:58
4,-73.9952961,40.7496742,2023-03-01 06:26:58
4,-73.9948451,40.7502936,2023-03-01 06:27:58
4,-73.9939536,40.7515176,2023-03-01 06:28:58
4,-73.9934596,40.7521959,2023-03-01 06:29:58
4,-73.9929759,40.7528582,2023-03-01 06:30:58
4,-73.9925251,40.7534779,2023-03-01 06:31:58
4,-73.992079,40.754091,2023-03-01 06:32:58
4,-73.991633,40.754707,2023-03-01 06:33:58
4,-73.991177,40.75533,2023-03-01 06:34:58
4,-73.9907278,40.7559486,2023-03-01 06:35:58
4,-73.990276,40.756567,2023-03-01 06:36:58
4,-73.9897914,40.7572335,2023-03-01 06:37:58
4,-73.9892961,40.7579117,2023-03-01 06:38:58
4,-73.9888429,40.7585323,2023-03-01 06:39:58
4,-73.9883858,40.7591595,2023-03-01 06:40:58
4,-73.9879285,40.7597869,2023-03-01 06:41:58
4,-73.9874753,40.7604088,2023-03-01 06:42:58
4,-73.9870177,40.7610365,2023-03-01 06:43:58
4,-73.9865661,40.7616677,2023-03-01 06:44:58
4,-73.9861011,40.7622941,2023-03-01 06:45:58
4,-73.9856481,40.7629156,2023-03-01 06:46:58
4,-73.9851938,40.7635566,2023-03-01 06:47:58
4,-73.9847413,40.7641596,2023-03-01 06:48:58
4,-73.9842688,40.7647981,2023-03-01 06:49:58
4,-73.9838209,40.7654396,2023-03-01 06:50:58
4,-73.9833766,40.7660319,2023-03-01 06:51:58
4,-73.9828727,40.7667157,2023-03-01 06:52:58
4,-73.9823637,40.7673998,2023-03-01 06:53:58
4,-73.9821317,40.7677262,2023-03-01 06:54:58
4,-73.9818825,40.7676798,2023-03-01 06:55:58
4,-73.9817558,40.7676813,2023-03-01 06:56:58
4,-73.980785,40.7675992,2023-03-01 06:57:58
4,-73.979076,40.766876,2023-03-01 06:58:58
4,-73.976244,40.7656797,2023-03-01 06:59:58
4,-73.973627,40.7645735,2023-03-01 07:00:58
4,-73.9729765,40.7642624,2023-03-01 07:01:58
4,-73.9714439,40.7635981,2023-03-01 07:02:58
4,-73.9699036,40.762968,2023-03-01 07:03:58
4,-73.9696819,40.7628745,2023-03-01 07:04:58
5,-73.9967146,40.7255012,2023-03-01 06:11:58
5,-73.9968134,40.7253844,2023-03-01 06:12:58
5,-73.9959002,40.7251668,2023-03-01 06:13:58
5,-73.9953664,40.7250362,2023-03-01 06:14:58
5,-73.9952714,40.7251537,2023-03-01 06:15:58
5,-73.994648,40.7259345,2023-03-01 06:16:58
5,-73.994129,40.72664,2023-03-01 06:17:58
5,-73.9936333,40.7272967,2023-03-01 06:18:58
5,-73.993147,40.727867,2023-03-01 06:19:58
5,-73.9914198,40.7298614,2023-03-01 06:20:58
5,-73.9911175,40.730046,2023-03-01 06:21:58
5,-73.990646,40.730615,2023-03-01 06:22:58
5,-73.9904097,40.7310019,2023-03-01 06:23:58
5,-73.9903509,40.7312807,2023-03-01 06:24:58
5,-73.9902032,40.7319645,2023-03-01 06:25:58
5,-73.990027,40.732756,2023-03-01 06:26:58
5,-73.9898448,40.7335229,2023-03-01 06:27:58
5,-73.9898963,40.734436,2023-03-01 06:28:58
5,-73.9898548,40.735321,2023-03-01 06:29:58
5,-73.9893863,40.7359584,2023-03-01 06:30:58
5,-73.9889561,40.7365339,2023-03-01 06:31:58
5,-73.9885174,40.7371225,2023-03-01 06:32:58
5,-73.9880935,40.7377054,2023-03-01 06:33:58
5,-73.9876671,40.7382917,2023-03-01 06:34:58
5,-73.9872419,40.7388764,2023-03-01 06:35:58
5,-73.9867925,40.7394943,2023-03-01 06:36:58
5,-73.9863046,40.7401651,2023-03-01 06:37:58
5,-73.9858246,40.7408251,2023-03-01 06:38:58
5,-73.9853785,40.7414386,2023-03-01 06:39:58
5,-73.9849234,40.7420643,2023-03-01 06:40:58
5,-73.984473,40.7426835,2023-03-01 06:41:58
5,-73.9840243,40.7433005,2023-03-01 06:42:58
5,-73.9835616,40.7439234,2023-03-01 06:43:58
5,-73.9831157,40.7445451,2023-03-01 06:44:58
5,-73.9826672,40.7451552,2023-03-01 06:45:58
5,-73.9822189,40.7457757,2023-03-01 06:46:58
5,-73.9817513,40.7463887,2023-03-01 06:47:58
5,-73.9812606,40.7470325,2023-03-01 06:48:58
5,-73.9807534,40.7477176,2023-03-01 06:49:58
5,-73.980302,40.7483404,2023-03-01 06:50:58
5,-73.9798635,40.7489448,2023-03-01 06:51:58
5,-73.9794069,40.7495663,2023-03-01 06:52:58
5,-73.9789564,40.7501833,2023-03-01 06:53:58
5,-73.978829,40.7503595,2023-03-01 06:54:58
5,-73.9785736,40.7508351,2023-03-01 06:55:58
5,-73.9785244,40.7509627,2023-03-01 06:56:58
5,-73.9776193,40.7521935,2023-03-01 06:57:58
5,-73.975696,40.7546316,2023-03-01 06:58:58
5,-73.9752404,40.7552643,2023-03-01 06:59:58
5,-73.9747884,40.755886,2023-03-01 07:00:58
5,-73.9743304,40.756516,2023-03-01 07:01:58
5,-73.9738807,40.7571346,2023-03-01 07:02:58
5,-73.9734231,40.7577641,2023-03-01 07:03:58
5,-73.9729803,40.7584104,2023-03-01 07:04:58
5,-73.9725124,40.7590168,2023-03-01 07:05:58
5,-73.9720595,40.7596398,2023-03-01 07:06:58
5,-73.9716163,40.7602891,2023-03-01 07:07:58
5,-73.9711418,40.760902,2023-03-01 07:08:58
5,-73.9706553,40.7615712,2023-03-01 07:09:58
5,-73.9701425,40.7622514,2023-03-01 07:10:58
5,-73.9696819,40.7628745,2023-03-01 07:11:58
6,-73.9355668,40.8417005,2023-03-01 06:11:58
6,-73.9356526,40.8415827,2023-03-01 06:12:58
6,-73.9360326,40.8410606,2023-03-01 06:13:58
6,-73.9364566,40.8404789,2023-03-01 06:14:58
6,-73.9369058,40.839864,2023-03-01 06:15:58
6,-73.9372062,40.8394631,2023-03-01 06:16:58
6,-73.9373385,40.8392951,2023-03-01 06:17:58
6,-73.9377692,40.8386821,2023-03-01 06:18:58
6,-73.937912,40.8384866,2023-03-01 06:19:58
6,-73.9383539,40.8378835,2023-03-01 06:20:58
6,-73.9388597,40.8372351,2023-03-01 06:21:58
6,-73.9393372,40.8365752,2023-03-01 06:22:58
6,-73.9398835,40.8358221,2023-03-01 06:23:58
6,-73.9401964,40.8353595,2023-03-01 06:24:58
6,-73.9406514,40.8347248,2023-03-01 06:25:58
6,-73.940048,40.8344923,2023-03-01 06:26:58
6,-73.94036,40.833786,2023-03-01 06:27:58
6,-73.940653,40.833098,2023-03-01 06:28:58
6,-73.9408792,40.8323747,2023-03-01 06:29:58
6,-73.941368,40.830891,2023-03-01 06:30:58
6,-73.941667,40.83016,2023-03-01 06:31:58
6,-73.9419432,40.8294451,2023-03-01 06:32:58
6,-73.942224,40.828736,2023-03-01 06:33:58
6,-73.9425031,40.8280452,2023-03-01 06:34:58
6,-73.9427817,40.8273441,2023-03-01 06:35:58
